"artist_id","artist_name","external_link"
"4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz"
"1sBkRIssrMs1AbVkOJbc7a","Rick Ross","https://api.spotify.com/v1/artists/1sBkRIssrMs1AbVkOJbc7a"
"6tYCSHLtTI54AQJFOMfU45","Kalmi","https://api.spotify.com/v1/artists/6tYCSHLtTI54AQJFOMfU45"
"4dYQmk5ma04mZ1KJ9KkAQK","Kacy Hill","https://api.spotify.com/v1/artists/4dYQmk5ma04mZ1KJ9KkAQK"
"0jPHHnU8GUWEF7rwPE9osY","Jordan Adetunji","https://api.spotify.com/v1/artists/0jPHHnU8GUWEF7rwPE9osY"
"7dGJo4pcD2V6oG8kP0tJRR","Eminem","https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR"
"0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj"
"6AgTAQt8XS6jRWi4sX7w49","Polo G","https://api.spotify.com/v1/artists/6AgTAQt8XS6jRWi4sX7w49"
"0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp"
"17lzZA2AlOHwCwFALHttmp","2 Chainz","https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp"
"2p1fiYHYiXz9qi0JJyxBzN","Skepta","https://api.spotify.com/v1/artists/2p1fiYHYiXz9qi0JJyxBzN"
"2sF5nNXnrrsCPZlt8ZpyGd","Rich Amiri","https://api.spotify.com/v1/artists/2sF5nNXnrrsCPZlt8ZpyGd"
"3qiHUAX7zY4Qnjx8TNUzVx","Yeat","https://api.spotify.com/v1/artists/3qiHUAX7zY4Qnjx8TNUzVx"
"0fGcIStdT1OpFFhOC7Wp36","Teezo Touchdown","https://api.spotify.com/v1/artists/0fGcIStdT1OpFFhOC7Wp36"
"6icQOAFXDZKsumw3YXyusw","Lil Yachty","https://api.spotify.com/v1/artists/6icQOAFXDZKsumw3YXyusw"
"3TVXtAsR1Inumwj472S9r4","Drake","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4"
"2rhFzFmezpnW82MNqEKVry","Ski Mask The Slump God","https://api.spotify.com/v1/artists/2rhFzFmezpnW82MNqEKVry"
"1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ"
